match_day,team1,team2,score1,score2
32,21,28,2,2
32,25,17,1,2
32,27,29,1,0
32,30,1,1,4
32,15,4,4,0

33,30,17,1,2
33,9,11,0,0
33,15,1,4,4
33,16,28,4,2
33,27,18,1,0
33,2,29,1,1
33,32,12,0,0
33,21,6,1,0
33,24,4,1,0
33,25,13,1,0

34,18,21,0,0
34,4,30,2,0
34,1,32,2,0
34,17,27,5,2
34,6,2,1,1
34,11,16,1,2
34,12,24,1,0
34,13,15,1,3
34,28,25,3,0
34,29,9,0,1

35,2,13,1,0
35,25,11,0,2
35,15,18,3,0
35,9,12,3,1
35,16,4,3,1
35,21,1,0,3
35,24,29,0,1
35,27,28,1,0
35,30,6,0,0
35,32,17,0,2

36,18,32,3,1
36,1,9,1,4
36,17,16,2,0
36,29,15,0,3
36,4,21,2,0
36,6,25,0,0
36,11,27,0,0
36,12,2,3,1
36,13,24,1,2
36,28,30,3,1

37,21,25,3,1
37,9,4,2,0
37,28,15,0,2
37,6,13,1,1
37,11,29,3,1
37,32,2,1,1
37,18,12,0,1
37,24,30,2,0
37,27,16,2,1
37,17,1,0,0

38,1,24,4,1
38,2,18,1,0
38,4,28,0,0
38,12,11,0,2
38,13,17,0,1
38,15,27,3,1
38,16,6,1,0
38,25,9,2,3
38,29,32,2,1
38,30,21,1,0

