match_day,team1,team2,score1,score2
1,17,22,0,0
1,9,3,3,2
1,1,12,2,1
1,2,15,1,2
1,6,18,1,3
1,33,21,2,2
1,11,30,2,1
1,32,4,1,2
1,29,16,0,2
1,25,27,1,0

2,15,29,4,0
2,18,1,1,1
2,4,2,0,4
2,22,9,1,2
2,30,32,1,0
2,3,25,2,2
2,12,6,2,1
2,16,33,1,0
2,21,17,1,1
2,27,11,1,3

3,15,9,1,1
3,4,1,1,1
3,16,17,1,0
3,18,2,0,0
3,22,11,1,0
3,27,33,4,0
3,30,25,3,0
3,3,29,0,1
3,12,32,1,2
3,21,6,3,1

4,17,27,1,0
4,32,18,2,2
4,11,4,1,1
4,2,12,2,1
4,6,22,3,0
4,9,21,1,0
4,33,3,1,2
4,29,30,1,1
4,1,16,1,0
4,25,15,0,2

5,2,9,2,0
5,4,16,1,0
5,1,21,3,1
5,17,25,1,0
5,6,11,1,2
5,12,27,3,3
5,15,33,6,0
5,32,3,2,0
5,18,30,1,0
5,22,29,0,3

6,33,18,1,0
6,16,2,1,0
6,9,4,0,0
6,30,12,1,1
6,3,6,1,0
6,25,22,2,1
6,29,32,3,0
6,27,1,1,3
6,21,15,0,0
6,11,17,0,1

7,17,9,2,0
7,6,27,1,1
7,4,21,0,1
7,2,11,2,0
7,18,29,3,1
7,12,16,3,3
7,22,30,2,1
7,1,33,5,0
7,15,3,0,0
7,32,25,2,2

8,27,2,4,4
8,11,32,2,0
8,3,17,0,1
8,33,6,1,1
8,21,22,7,4
8,25,4,1,2
8,29,1,0,1
8,30,15,0,1
8,9,12,0,0
8,16,18,3,1

9,12,21,0,2
9,18,11,3,2
9,4,3,2,1
9,6,9,0,1
9,15,27,2,2
9,16,32,3,1
9,22,33,1,0
9,1,25,3,2
9,2,29,1,0
9,17,30,4,0

10,18,27,3,1
10,29,25,3,1
10,2,17,1,4
10,30,21,0,2
10,1,6,2,0
10,4,22,4,2
10,12,33,0,0
10,16,3,1,0
10,32,9,0,2
10,11,15,1,2

11,15,1,1,1
11,27,4,1,2
11,33,11,0,2
11,6,2,1,1
11,21,29,0,0
11,22,18,2,1
11,25,12,1,1
11,3,30,3,2
11,9,16,6,0
11,17,32,4,1

12,16,25,1,0
12,29,6,1,1
12,4,15,0,0
12,11,3,3,1
12,12,22,3,1
12,32,27,1,1
12,18,21,1,4
12,30,9,0,2
12,2,33,2,0
12,1,17,2,2

13,22,1,1,3
13,21,16,0,0
13,6,32,0,0
13,17,4,2,0
13,27,30,4,0
13,9,11,1,1
13,3,2,1,2
13,15,12,2,0
13,33,29,0,5
13,25,18,1,1

14,12,4,2,2
14,29,27,1,1
14,33,9,0,2
14,32,2,0,3
14,1,30,2,0
14,3,21,0,2
14,6,17,1,0
14,11,25,7,1
14,16,22,2,1
14,18,15,0,3

15,17,12,2,0
15,27,3,2,3
15,15,6,4,0
15,2,1,1,2
15,21,11,0,0
15,22,32,1,1
15,25,33,1,0
15,4,18,3,1
15,30,16,1,1
15,9,29,1,0

16,4,29,0,1
16,6,30,4,1
16,27,16,2,1
16,32,1,2,1
16,22,15,3,1
16,9,25,2,0
16,11,12,3,0
16,17,33,4,1
16,18,3,2,1
16,2,21,1,3

17,1,9,1,0
17,15,17,0,1
17,12,18,0,1
17,29,11,0,2
17,30,4,5,3
17,3,22,1,1
17,33,32,0,1
17,16,6,4,2
17,21,27,0,1
17,25,2,1,1

18,4,9,0,1
18,18,33,2,2
18,17,11,2,1
18,32,29,1,2
18,2,16,1,1
18,22,25,2,1
18,6,3,3,0
18,12,30,1,1
18,15,21,4,1
18,1,27,2,1

19,16,4,2,2
19,21,1,0,0
19,25,17,0,4
19,3,32,3,0
19,30,18,1,0
19,33,15,1,2
19,11,6,2,0
19,27,12,5,1
19,29,22,1,1
19,9,2,4,4

20,16,15,0,0
20,33,4,1,2
20,11,1,1,4
20,3,12,1,1
20,29,17,2,1
20,9,18,2,1
20,30,2,1,2
20,21,32,0,1
20,25,6,3,1
20,27,22,6,4

21,4,25,1,0
21,6,33,1,0
21,15,30,1,1
21,18,16,0,2
21,2,27,2,1
21,17,3,1,0
21,32,11,0,2
21,1,29,2,0
21,22,21,0,2
21,12,9,1,2

22,6,4,1,2
22,25,21,2,0
22,17,18,6,0
22,33,30,0,1
22,11,16,1,0
22,32,15,1,1
22,1,3,1,1
22,2,22,3,1
22,29,12,2,1
22,9,27,2,0

23,15,2,2,2
23,16,29,1,1
23,30,11,1,2
23,18,6,0,0
23,12,1,0,3
23,21,33,3,1
23,22,17,0,2
23,3,9,0,1
23,27,25,2,0
23,4,32,1,1

24,17,21,2,0
24,11,27,0,0
