match_day,team1,team2,score1,score2
1,7,9,1,3
1,18,16,0,2
1,15,23,2,1
1,1,10,2,1
1,14,11,2,2
1,20,13,0,1
1,24,2,0,1
1,28,25,2,2
1,29,27,0,1
1,17,26,1,2

2,16,15,3,1
2,25,17,1,1
2,13,24,1,1
2,27,20,4,0
2,11,1,2,2
2,9,14,2,0
2,10,29,1,3
2,23,28,0,0
2,26,7,1,0
2,2,18,0,0

3,14,1,1,1
3,2,13,2,1
3,27,15,0,3
3,11,9,3,6
3,16,24,0,1
3,18,10,3,3
3,20,25,1,0
3,26,28,3,0
3,29,23,1,3
3,7,17,0,0

4,13,29,2,2
4,17,20,4,0
4,15,2,0,1
4,9,26,4,2
4,10,7,0,0
4,23,18,4,0
4,24,14,0,1
4,25,27,2,2
4,28,11,0,2
4,1,16,2,2

5,11,10,2,3
5,16,9,1,1
5,14,17,5,3
5,27,28,0,1
5,29,15,3,1
5,2,1,0,3
5,7,25,0,0
5,18,13,2,2
5,26,23,0,1
5,20,24,2,2

6,24,18,1,0
6,28,7,4,0
6,1,27,1,1
6,9,2,3,0
6,10,14,2,0
6,13,16,2,4
6,17,29,2,1
6,23,20,2,1
6,25,26,0,0
6,15,11,1,1

7,29,20,2,0
7,9,1,2,0
7,27,23,1,0
7,17,11,2,1
7,2,16,0,2
7,13,10,2,0
7,14,7,2,2
7,15,28,2,1
7,25,24,3,1
7,26,18,2,2

8,28,17,2,2
8,24,26,2,1
8,20,15,2,3
8,18,14,1,0
8,1,13,2,2
8,7,29,1,3
8,10,9,1,2
8,11,2,3,0
8,23,25,8,0
8,16,27,4,1

9,20,2,2,0
9,17,9,1,1
9,7,11,1,3
9,27,18,1,2
9,26,14,2,0
9,15,13,0,0
9,23,24,1,0
9,25,1,0,2
9,28,10,2,2
9,29,16,2,1

10,10,25,1,3
10,2,27,1,2
10,16,17,1,0
10,1,7,3,0
10,9,20,2,1
10,11,26,0,0
10,13,23,0,1
10,14,28,0,1
10,24,29,2,2
10,18,15,1,0

11,26,1,2,1
11,25,11,1,1
11,27,24,1,2
11,28,18,0,2
11,20,16,2,2
11,7,13,1,0
11,17,10,1,0
11,23,14,2,0
11,29,2,0,0
11,15,9,1,2

12,2,23,1,1
12,13,27,1,2
12,10,15,3,1
12,1,17,1,2
12,9,28,2,0
12,11,29,2,1
12,14,25,0,0
12,16,26,2,1
12,18,20,1,0
12,24,7,1,2

13,27,11,2,1
13,23,16,0,3
13,25,9,0,0
13,7,2,1,1
13,15,24,1,0
13,17,13,3,0
13,20,14,3,2
13,26,10,1,1
13,29,18,1,0
13,28,1,0,1

14,1,23,1,0
14,9,27,3,0
14,11,13,1,1
14,25,16,1,4
14,10,2,0,1
14,28,29,1,2
14,7,18,1,1
14,14,15,1,3
14,17,24,2,1
14,26,20,2,0

15,23,17,1,2
15,2,14,2,1
15,29,26,3,1
15,16,11,1,0
15,13,28,0,0
15,15,25,0,0
15,20,7,2,0
15,24,1,3,2
15,27,10,0,0
15,18,9,2,1

16,11,20,3,1
16,26,27,1,2
16,17,15,3,0
16,1,18,4,1
16,7,23,1,0
16,9,13,2,0
16,10,24,1,1
16,14,16,0,1
16,25,29,1,1
16,28,2,1,0

17,24,9,0,2
17,15,1,2,2
17,18,25,0,1
17,2,17,1,1
17,13,26,0,1
17,20,28,3,2
17,23,11,3,0
17,27,7,2,1
17,29,14,2,0
17,16,10,3,0

18,1,20,2,1
18,7,15,0,1
18,10,23,1,3
18,11,24,0,1
18,14,27,1,2
18,17,18,3,1
18,25,13,1,3
18,26,2,1,0
18,28,16,1,3
18,9,29,2,0

19,15,26,4,1
19,18,11,3,2
19,2,25,0,0
19,13,14,0,1
19,16,7,2,2
19,20,10,0,0
19,24,28,2,0
19,29,1,1,2
19,23,9,1,1
19,27,17,0,0

20,27,9,5,3
20,2,10,0,0
20,13,11,2,0
20,15,14,2,2
20,16,25,3,2
20,18,7,3,3
20,20,26,1,1
20,23,1,2,0
20,29,28,1,1
20,24,17,1,1

21,17,23,0,1
21,1,24,3,0
21,10,27,2,1
21,7,20,2,1
21,9,18,2,0
21,11,16,1,1
21,14,2,1,0
21,26,29,1,1
21,28,13,1,0
21,25,15,0,1

22,11,28,0,0
22,16,1,0,2
22,29,13,3,0
22,18,23,1,2
22,2,15,0,2
22,7,10,2,3
22,14,24,0,1
22,20,17,0,2
22,26,9,0,5
22,27,25,2,1

23,23,26,0,1
23,1,2,5,0
23,9,16,1,1
23,10,11,0,1
23,15,29,2,0
23,17,14,3,1
23,24,20,3,1
23,25,7,2,0
23,28,27,0,3
23,13,18,0,3

24,29,17,1,1
24,18,24,1,1
24,7,28,2,2
24,11,15,0,0
24,2,9,1,2
24,14,10,0,1
24,16,13,1,1
24,20,23,0,1
24,26,25,1,1
24,27,1,2,1

25,10,18,1,1
25,28,26,2,0
25,9,11,1,0
25,17,7,3,1
25,23,29,0,0
25,24,16,1,4
25,15,27,3,2
25,1,14,2,1
25,13,2,2,0
25,25,20,0,2

26,23,15,0,0
26,11,14,0,0
26,27,29,0,0
26,16,18,0,0
26,2,24,0,0
26,9,7,0,0
26,10,1,0,0
26,13,20,0,0
26,25,28,0,0
26,26,17,0,0

27,20,27,0,0
27,1,11,0,0
27,15,16,0,0
27,14,9,0,0
27,7,26,0,0
27,17,25,0,0
27,18,2,0,0
27,24,13,0,0
27,28,23,0,0
27,29,10,0,0

28,15,7,0,0
28,29,9,0,0
28,16,14,0,0
28,18,17,0,0
28,20,1,0,0
28,24,11,0,0
28,27,26,0,0
28,2,28,0,0
28,13,25,0,0
28,23,10,0,0

29,26,15,0,0
29,17,27,0,0
29,9,23,0,0
29,10,20,0,0
29,1,29,0,0
29,7,16,0,0
29,11,18,0,0
29,14,13,0,0
29,25,2,0,0
29,28,24,0,0

30,13,9,0,0
30,15,17,0,0
30,29,25,0,0
30,16,28,0,0
30,2,26,0,0
30,18,1,0,0
30,20,11,0,0
30,23,7,0,0
30,24,10,0,0
30,27,14,0,0

31,1,15,0,0
31,7,27,0,0
31,9,24,0,0
31,10,16,0,0
31,11,23,0,0
31,14,29,0,0
31,17,2,0,0
31,25,18,0,0
31,26,13,0,0
31,28,20,0,0

32,7,1,0,0
32,15,18,0,0
32,17,16,0,0
32,20,9,0,0
32,23,13,0,0
32,25,10,0,0
32,26,11,0,0
32,27,2,0,0
32,28,14,0,0
32,29,24,0,0

33,1,25,0,0
33,2,20,0,0
33,9,17,0,0
33,10,28,0,0
33,11,7,0,0
33,13,15,0,0
33,14,26,0,0
33,16,29,0,0
33,18,27,0,0
33,24,23,0,0

34,1,9,0,0
34,7,14,0,0
34,10,13,0,0
34,11,17,0,0
34,16,2,0,0
34,18,26,0,0
34,20,29,0,0
34,23,27,0,0
34,24,25,0,0
34,28,15,0,0

35,2,11,0,0
35,9,10,0,0
35,13,1,0,0
35,14,18,0,0
35,15,20,0,0
35,17,28,0,0
35,25,23,0,0
35,26,24,0,0
35,27,16,0,0
35,29,7,0,0

36,1,26,0,0
36,2,29,0,0
36,9,15,0,0
36,10,17,0,0
36,11,25,0,0
36,13,7,0,0
36,14,23,0,0
36,16,20,0,0
36,18,28,0,0
36,24,27,0,0

37,7,24,0,0
37,15,10,0,0
37,17,1,0,0
37,20,18,0,0
37,23,2,0,0
37,25,14,0,0
37,26,16,0,0
37,27,13,0,0
37,28,9,0,0
37,29,11,0,0

38,1,28,0,0
38,2,7,0,0
38,9,25,0,0
38,10,26,0,0
38,11,27,0,0
38,13,17,0,0
38,14,20,0,0
38,16,23,0,0
38,18,29,0,0
38,24,15,0,0

