match_day,team1,team2,score1,score2
1,27,15,2,1
1,17,3,1,0
1,11,1,1,6
1,2,30,0,2
1,4,16,0,2
1,6,25,0,1
1,21,12,0,1
1,24,7,2,0
1,31,29,0,2
1,9,13,2,1

2,16,11,0,2
2,1,6,4,2
2,12,4,3,0
2,29,2,2,1
2,15,24,4,0
2,3,21,1,0
2,7,17,1,0
2,13,27,1,5
2,25,9,1,3
2,30,31,0,1

3,15,2,1,3
3,12,9,0,2
3,7,11,1,0
3,29,27,1,2
3,1,21,4,1
3,3,24,0,0
3,13,6,1,0
3,16,31,1,0
3,25,4,2,1
3,30,17,0,5

4,2,12,2,0
4,11,30,2,1
4,21,16,0,1
4,17,1,2,1
4,4,29,0,0
4,6,15,2,3
4,24,25,1,0
4,27,3,2,1
4,31,13,1,1
4,9,7,3,0

5,12,11,2,1
5,3,2,0,1
5,27,17,1,3
5,4,31,3,1
5,15,7,4,0
5,16,1,4,2
5,21,6,2,3
5,24,9,1,2
5,25,13,4,1
5,30,29,1,0

6,9,27,3,0
6,11,4,3,0
6,31,12,2,1
6,17,16,4,3
6,29,15,2,3
6,1,30,4,0
6,2,21,2,0
6,6,24,1,1
6,13,3,0,1
6,7,25,3,1

7,16,29,3,1
7,25,31,5,2
7,12,1,0,1
7,3,6,1,2
7,4,2,2,1
7,15,13,6,1
7,24,17,0,2
7,27,7,5,0
7,30,9,3,1
7,21,11,0,1

8,2,16,1,1
8,9,15,2,0
8,11,24,1,1
8,29,12,2,2
8,1,4,6,2
8,17,25,2,2
8,6,27,2,2
8,7,3,2,1
8,13,30,2,1
8,31,21,0,1

9,12,13,2,0
9,30,16,1,1
9,4,7,3,2
9,1,3,3,1
9,11,31,1,1
9,17,6,2,1
9,21,27,1,2
9,24,29,2,1
9,25,15,1,0
9,2,9,2,1

10,29,1,2,2
10,16,12,2,2
10,15,17,2,0
10,6,11,3,2
10,9,4,5,0
10,3,25,2,1
10,7,30,1,3
10,13,21,0,0
10,27,24,0,1
10,31,2,1,1

11,3,16,0,0
