match_day,team1,team2,score1,score2
32,15,2,1,1
32,19,11,2,2
32,28,4,3,0
32,25,27,0,0
32,26,18,0,2

33,20,26,3,0
33,16,28,4,0
33,30,17,1,0
33,31,1,0,3
33,4,15,2,3
33,12,9,1,1
33,2,24,1,1
33,11,25,4,0
33,18,6,2,0
33,27,19,1,2

34,6,27,1,4
34,9,18,0,2
34,15,12,0,1
34,24,11,1,1
34,1,30,1,2
34,17,2,4,0
34,25,31,0,0
34,26,4,3,0
34,28,20,1,0
34,19,16,1,6

35,15,28,0,1
35,31,16,0,2
35,17,11,4,4
35,20,27,1,0
35,2,25,0,0
35,4,19,2,0
35,6,26,1,1
35,12,30,2,1
35,18,24,3,0
35,1,9,0,0

36,16,17,1,0
36,27,4,2,0
36,9,20,6,1
36,19,15,0,3
36,11,12,4,0
36,24,1,1,1
36,25,6,2,2
36,26,31,4,4
36,28,2,0,0
36,30,18,4,0

37,15,9,4,1
37,4,30,0,1
37,17,26,2,0
37,2,27,1,1
37,6,28,2,2
37,12,25,2,1
37,20,24,1,0
37,31,11,0,0
37,18,16,0,2
37,1,19,3,3

38,9,4,2,1
38,11,18,3,1
38,16,20,3,2
38,19,2,2,0
38,24,6,2,2
38,25,17,0,1
38,26,15,1,0
38,27,12,2,0
38,28,1,2,3
38,30,31,3,2

