day,month,year,team1,team2,score1,score2
16,08,2009,27,15,2,1
16,08,2009,17,3,1,0
15,08,2009,11,1,1,6
15,08,2009,2,30,0,2
15,08,2009,4,16,0,2
15,08,2009,6,25,0,1
15,08,2009,21,12,0,1
15,08,2009,24,7,2,0
15,08,2009,31,29,0,2
15,08,2009,9,13,2,1

24,03,2010,16,11,0,2
20,01,2010,1,6,4,2
25,11,2009,12,4,3,0
04,11,2009,29,2,2,1
19,08,2009,15,24,4,0
19,08,2009,3,21,1,0
19,08,2009,7,17,1,0
19,08,2009,13,27,1,5
18,08,2009,25,9,1,3
18,08,2009,30,31,0,1

24,08,2009,15,2,1,3
23,08,2009,12,9,0,2
23,08,2009,7,11,1,0
23,08,2009,29,27,1,2
22,08,2009,1,21,4,1
22,08,2009,3,24,0,0
22,08,2009,13,6,1,0
22,08,2009,16,31,1,0
22,08,2009,25,4,2,1
22,08,2009,30,17,0,5

30,08,2009,2,12,2,0
30,08,2009,11,30,2,1
30,08,2009,21,16,0,1
29,08,2009,17,1,2,1
29,08,2009,4,29,0,0
29,08,2009,6,15,2,3
29,08,2009,24,25,1,0
29,08,2009,27,3,2,1
29,08,2009,31,13,1,1
29,08,2009,9,7,3,0

13,09,2009,12,11,2,1
13,09,2009,3,2,0,1
12,09,2009,27,17,1,3
12,09,2009,4,31,3,1
12,09,2009,15,7,4,0
12,09,2009,16,1,4,2
12,09,2009,21,6,2,3
12,09,2009,24,9,1,2
12,09,2009,25,13,4,1
12,09,2009,30,29,1,0

20,09,2009,9,27,3,0
20,09,2009,11,4,3,0
20,09,2009,31,12,2,1
20,09,2009,17,16,4,3
19,09,2009,29,15,2,3
19,09,2009,1,30,4,0
19,09,2009,2,21,2,0
19,09,2009,6,24,1,1
19,09,2009,13,3,0,1
19,09,2009,7,25,3,1

28,09,2009,16,29,3,1
27,09,2009,25,31,5,2
26,09,2009,12,1,0,1
26,09,2009,3,6,1,2
26,09,2009,4,2,2,1
26,09,2009,15,13,6,1
26,09,2009,24,17,0,2
26,09,2009,27,7,5,0
26,09,2009,30,9,3,1
26,09,2009,21,11,0,1

05,10,2009,2,16,1,1
04,10,2009,9,15,2,0
04,10,2009,11,24,1,1
04,10,2009,29,12,2,2
04,10,2009,1,4,6,2
03,10,2009,17,25,2,2
03,10,2009,6,27,2,2
03,10,2009,7,3,2,1
03,10,2009,13,30,2,1
03,10,2009,31,21,0,1

19,10,2009,12,13,2,0
18,10,2009,30,16,1,1
18,10,2009,4,7,3,2
17,10,2009,1,3,3,1
17,10,2009,11,31,1,1
17,10,2009,17,6,2,1
17,10,2009,21,27,1,2
17,10,2009,24,29,2,1
17,10,2009,25,15,1,0
17,10,2009,2,9,2,1

25,10,2009,29,1,2,2
25,10,2009,16,12,2,2
25,10,2009,15,17,2,0
25,10,2009,6,11,3,2
24,10,2009,9,4,5,0
24,10,2009,3,25,2,1
24,10,2009,7,30,1,3
24,10,2009,13,21,0,0
24,10,2009,27,24,0,1
24,10,2009,31,2,1,1

01,11,2009,3,16,0,0
31,10,2009,17,4,2,0
31,10,2009,6,9,0,4
31,10,2009,7,13,2,0
31,10,2009,11,2,1,1
31,10,2009,12,15,3,1
31,10,2009,21,30,4,0
31,10,2009,24,31,2,2
31,10,2009,25,29,2,2
31,10,2009,1,27,3,0

09,11,2009,15,3,2,2
08,11,2009,9,17,1,0
08,11,2009,29,11,1,2
08,11,2009,30,12,1,1
08,11,2009,13,24,2,1
07,11,2009,31,1,1,4
07,11,2009,2,6,5,1
07,11,2009,4,21,3,1
07,11,2009,16,7,3,3
07,11,2009,27,25,2,0

22,11,2009,24,21,1,0
22,11,2009,27,30,9,1
22,11,2009,6,4,0,2
21,11,2009,17,11,3,0
21,11,2009,3,12,1,0
21,11,2009,7,2,1,1
21,11,2009,9,31,4,0
21,11,2009,13,29,3,3
21,11,2009,25,1,1,0
21,11,2009,15,16,2,2

29,11,2009,1,9,0,3
29,11,2009,11,15,0,2
29,11,2009,31,3,0,1
28,11,2009,2,27,1,1
28,11,2009,4,24,0,0
28,11,2009,12,6,1,1
28,11,2009,16,13,1,1
28,11,2009,21,17,1,4
28,11,2009,29,7,5,3
28,11,2009,30,25,1,0

06,12,2009,11,27,2,2
06,12,2009,12,25,1,0
05,12,2009,16,9,2,1
05,12,2009,1,24,2,0
05,12,2009,2,13,3,0
05,12,2009,4,15,0,0
05,12,2009,29,17,0,4
05,12,2009,30,3,2,3
05,12,2009,31,6,2,1
05,12,2009,21,7,2,0

13,12,2009,15,1,1,2
12,12,2009,17,2,0,1
12,12,2009,3,29,1,0
12,12,2009,6,16,3,3
12,12,2009,7,12,1,1
