day,month,year,team1,team2,score1,score2
12,12,2009,9,11,3,3
12,12,2009,13,4,0,0
12,12,2009,25,21,1,1
12,12,2009,27,31,0,1
12,12,2009,24,30,2,2

05,01,2010,24,12,3,2
16,12,2009,15,30,2,1
16,12,2009,27,16,3,0
16,12,2009,7,1,1,1
16,12,2009,9,21,2,1
15,12,2009,3,4,2,1
15,12,2009,6,29,3,1
15,12,2009,17,31,3,0
15,12,2009,25,2,0,2
25,11,2009,13,11,3,2

17,02,2010,30,6,0,0
20,12,2009,29,9,1,1
20,12,2009,11,3,1,1
20,12,2009,31,7,2,0
19,12,2009,1,13,3,0
19,12,2009,2,24,1,0
19,12,2009,4,27,0,2
19,12,2009,12,17,3,0
19,12,2009,16,25,4,3
19,12,2009,21,15,2,0

27,12,2009,13,17,1,3
27,12,2009,1,2,3,0
26,12,2009,15,31,2,0
26,12,2009,16,24,2,0
26,12,2009,25,11,1,1
26,12,2009,30,4,1,1
26,12,2009,7,6,1,1
26,12,2009,12,27,0,0
26,12,2009,29,21,2,0
26,12,2009,3,9,0,0

30,12,2009,17,30,5,0
30,12,2009,21,1,1,4
29,12,2009,6,13,2,2
29,12,2009,2,15,0,1
28,12,2009,31,16,0,3
28,12,2009,4,25,2,2
28,12,2009,9,12,2,1
28,12,2009,11,7,2,0
28,12,2009,24,3,0,1
28,12,2009,27,29,2,0

23,03,2010,29,31,1,3
16,03,2010,30,2,1,2
10,03,2010,7,24,1,1
09,03,2010,25,6,4,0
03,02,2010,12,21,1,0
02,02,2010,13,9,1,1
20,01,2010,15,27,2,0
11,01,2010,16,4,4,1
09,01,2010,3,17,1,1
09,01,2010,1,11,2,2

09,03,2010,21,3,1,2
17,01,2010,6,1,0,2
17,01,2010,4,12,2,0
17,01,2010,2,29,0,0
16,01,2010,11,16,2,0
16,01,2010,9,25,7,2
16,01,2010,17,7,3,0
16,01,2010,27,13,0,0
16,01,2010,31,30,0,2
16,01,2010,24,15,1,1

16,02,2010,24,16,1,1
27,01,2010,4,30,2,1
27,01,2010,11,25,2,0
27,01,2010,2,1,0,0
27,01,2010,9,3,3,0
26,01,2010,6,7,1,0
26,01,2010,27,12,2,0
26,01,2010,21,29,1,1
26,01,2010,31,15,0,0
23,01,2010,17,13,4,0

01,02,2010,25,24,0,0
31,01,2010,1,17,1,3
31,01,2010,16,21,2,0
30,01,2010,7,9,1,2
30,01,2010,3,27,1,1
30,01,2010,12,2,0,2
30,01,2010,13,31,2,2
30,01,2010,15,6,2,0
30,01,2010,29,4,0,0
30,01,2010,30,11,0,1

07,02,2010,9,1,2,0
07,02,2010,3,31,2,1
06,02,2010,27,2,0,0
06,02,2010,6,12,0,0
06,02,2010,7,29,2,1
06,02,2010,13,16,2,1
06,02,2010,17,21,5,0
06,02,2010,24,4,3,0
06,02,2010,25,30,1,1
06,02,2010,15,11,1,0

10,02,2010,4,13,1,0
10,02,2010,11,9,2,1
10,02,2010,1,15,1,0
10,02,2010,2,17,1,1
10,02,2010,29,3,2,0
10,02,2010,31,27,1,0
09,02,2010,12,7,3,0
09,02,2010,16,6,2,0
09,02,2010,21,25,1,1
09,02,2010,30,24,1,1

21,02,2010,30,27,0,3
21,02,2010,12,3,2,1
21,02,2010,16,15,0,0
21,02,2010,2,7,5,2
21,02,2010,4,6,3,0
20,02,2010,21,24,1,2
20,02,2010,1,25,2,0
20,02,2010,29,13,3,0
20,02,2010,31,9,0,2
20,02,2010,11,17,3,1

21,04,2010,13,2,0,2
28,02,2010,15,4,2,1
28,02,2010,25,12,0,0
28,02,2010,27,11,2,1
27,02,2010,24,1,1,3
27,02,2010,3,30,1,0
27,02,2010,6,31,1,0
27,02,2010,7,21,1,2
27,02,2010,9,16,2,4
23,02,2010,17,29,3,0

05,05,2010,12,24,0,1
05,05,2010,16,27,0,1
24,03,2010,4,3,2,1
24,03,2010,2,25,1,1
24,03,2010,21,9,0,5
08,03,2010,30,15,1,0
07,03,2010,11,13,5,1
06,03,2010,31,17,0,1
06,03,2010,1,7,3,1
06,03,2010,29,6,1,2

15,03,2010,15,21,4,1
14,03,2010,25,16,1,1
14,03,2010,17,12,3,0
13,03,2010,13,1,1,2
13,03,2010,3,11,2,2
13,03,2010,6,30,4,0
13,03,2010,7,31,1,2
13,03,2010,9,29,4,1
13,03,2010,24,2,0,0
13,03,2010,27,4,3,1

21,03,2010,4,9,1,1
21,03,2010,12,16,1,2
21,03,2010,17,15,2,1
20,03,2010,1,29,2,0
20,03,2010,11,6,2,0
20,03,2010,21,13,3,2
20,03,2010,24,27,1,2
20,03,2010,25,3,3,1
20,03,2010,30,7,1,0
20,03,2010,2,31,2,2

29,03,2010,16,30,3,0
28,03,2010,15,25,3,0
28,03,2010,7,4,0,1
27,03,2010,6,17,0,4
27,03,2010,3,1,1,1
27,03,2010,9,2,7,1
27,03,2010,13,12,2,0
27,03,2010,27,21,2,0
27,03,2010,29,24,0,1
27,03,2010,31,11,0,0

04,04,2010,11,29,2,2
04,04,2010,3,15,1,1
04,04,2010,12,30,2,1
03,04,2010,7,16,1,6
03,04,2010,1,31,1,0
03,04,2010,6,2,0,1
03,04,2010,21,4,0,0
03,04,2010,24,13,2,0
03,04,2010,25,27,3,1
03,04,2010,17,9,1,2

14,04,2010,27,1,2,1
14,04,2010,2,11,2,2
14,04,2010,30,21,0,0
13,04,2010,9,6,1,0
11,04,2010,16,3,5,1
11,04,2010,15,12,0,0
11,04,2010,4,17,0,0
11,04,2010,31,24,0,0
10,04,2010,13,7,1,4
10,04,2010,29,25,1,0

19,04,2010,15,29,3,0
18,04,2010,21,2,1,2
18,04,2010,30,1,3,2
17,04,2010,27,9,2,1
17,04,2010,3,13,0,0
17,04,2010,4,11,2,3
17,04,2010,12,31,0,0
17,04,2010,24,6,1,2
17,04,2010,25,7,2,1
17,04,2010,16,17,0,1

25,04,2010,9,24,7,0
25,04,2010,7,15,0,4
25,04,2010,11,12,2,1
25,04,2010,2,3,1,0
24,04,2010,1,16,0,0
24,04,2010,6,21,2,2
24,04,2010,13,25,0,1
24,04,2010,29,30,3,2
24,04,2010,31,4,1,1
24,04,2010,17,27,3,1

03,05,2010,4,1,2,1
03,05,2010,30,13,2,2
02,05,2010,25,17,0,1
02,05,2010,12,29,3,2
02,05,2010,15,9,0,2
01,05,2010,16,2,3,1
01,05,2010,21,31,3,1
01,05,2010,24,11,0,0
01,05,2010,27,6,1,0
01,05,2010,3,7,2,1

09,05,2010,1,12,4,0
09,05,2010,2,4,0,1
09,05,2010,6,3,2,1
09,05,2010,7,27,4,2
09,05,2010,9,30,8,0
09,05,2010,11,21,1,0
09,05,2010,13,15,0,0
09,05,2010,17,24,4,0
09,05,2010,29,16,1,1
09,05,2010,31,25,2,1

