standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
1,16,1,1,0,0,4,0,3,1,0,0,4,0,3,0,0,0,0,0,0
2,6,1,1,0,0,4,0,3,0,0,0,0,0,0,1,0,0,4,0,3
3,27,1,1,0,0,2,0,3,1,0,0,2,0,3,0,0,0,0,0,0
4,31,1,1,0,0,2,1,3,0,0,0,0,0,0,1,0,0,2,1,3
5,17,1,1,0,0,2,1,3,0,0,0,0,0,0,1,0,0,2,1,3
6,25,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
7,15,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
8,19,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
9,30,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
10,24,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
11,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
12,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
13,12,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
14,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
15,18,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
16,28,1,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0
17,4,1,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0
18,11,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
19,20,1,0,0,1,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0
20,26,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0

1,16,2,2,0,0,7,2,6,1,0,0,4,0,3,1,0,0,3,2,3
2,17,2,2,0,0,5,1,6,1,0,0,3,0,3,1,0,0,2,1,3
3,31,2,2,0,0,4,1,6,1,0,0,2,0,3,1,0,0,2,1,3
4,15,2,1,1,0,3,1,4,0,1,0,1,1,1,1,0,0,2,0,3
5,2,2,1,1,0,3,1,4,1,0,0,3,1,3,0,1,0,0,0,1
6,9,2,1,1,0,2,1,4,1,0,0,2,1,3,0,1,0,0,0,1
7,18,2,1,1,0,1,0,4,0,1,0,0,0,1,1,0,0,1,0,3
