day,month,year,team1,team2,score1,score2
13,01,2013,1,16,0,2
13,01,2013,17,15,2,1
12,01,2013,2,23,0,1
12,01,2013,11,26,0,0
12,01,2013,12,30,1,1
12,01,2013,19,18,0,0
12,01,2013,22,28,3,2
12,01,2013,24,9,0,4
12,01,2013,25,29,3,0
12,01,2013,20,27,0,0

21,01,2013,23,11,0,0
20,01,2013,27,17,1,1
20,01,2013,9,1,2,1
19,01,2013,28,2,2,2
19,01,2013,15,19,5,0
19,01,2013,16,12,2,0
19,01,2013,18,22,1,2
19,01,2013,26,24,3,1
19,01,2013,29,20,1,1
19,01,2013,30,25,2,3

30,01,2013,12,29,3,1
30,01,2013,17,23,2,1
30,01,2013,22,9,2,2
30,01,2013,1,15,2,2
30,01,2013,11,28,2,1
30,01,2013,19,27,1,1
29,01,2013,2,18,1,2
29,01,2013,20,16,0,0
29,01,2013,24,30,2,2
29,01,2013,25,26,0,0

03,02,2013,16,15,2,2
03,02,2013,28,27,0,1
02,02,2013,12,17,0,1
02,02,2013,1,24,1,0
02,02,2013,11,2,3,3
02,02,2013,18,9,3,2
02,02,2013,22,25,2,1
02,02,2013,29,26,1,0
02,02,2013,30,23,2,2
02,02,2013,20,19,0,0

11,02,2013,15,28,0,2
10,02,2013,17,11,2,0
10,02,2013,2,29,2,1
09,02,2013,23,16,3,1
09,02,2013,9,30,4,1
09,02,2013,19,12,0,0
09,02,2013,24,22,2,1
09,02,2013,25,1,0,1
09,02,2013,26,20,4,1
09,02,2013,27,18,2,1

25,02,2013,29,27,2,3
24,02,2013,16,9,2,0
24,02,2013,18,23,4,2
23,02,2013,1,2,2,1
23,02,2013,19,11,2,1
23,02,2013,20,17,0,2
23,02,2013,22,30,0,3
23,02,2013,28,25,2,1
23,02,2013,12,24,1,0
17,02,2013,15,26,5,0

04,03,2013,2,16,0,1
03,03,2013,27,1,2,1
02,03,2013,30,15,0,4
02,03,2013,9,28,1,0
02,03,2013,11,22,3,1
02,03,2013,17,19,4,0
02,03,2013,23,20,1,2
02,03,2013,24,29,0,1
02,03,2013,25,12,2,2
02,03,2013,26,18,1,0

17,04,2013,12,9,0,3
17,04,2013,16,30,1,0
17,04,2013,29,17,2,2
16,04,2013,1,11,0,0
10,03,2013,15,27,3,2
10,03,2013,18,24,2,1
09,03,2013,19,23,0,0
09,03,2013,20,25,3,1
09,03,2013,22,2,1,2
09,03,2013,28,26,2,1

17,03,2013,9,29,2,0
17,03,2013,30,18,2,1
17,03,2013,27,12,0,1
17,03,2013,25,19,1,1
16,03,2013,17,22,1,0
16,03,2013,2,20,3,2
16,03,2013,23,15,3,1
16,03,2013,24,28,0,0
16,03,2013,26,1,0,2
16,03,2013,11,16,2,0

01,04,2013,12,20,3,2
31,03,2013,2,15,1,2
30,03,2013,11,24,1,0
30,03,2013,1,22,4,1
30,03,2013,16,18,4,0
30,03,2013,23,9,2,1
30,03,2013,26,27,1,2
30,03,2013,29,28,3,1
30,03,2013,30,19,1,0
30,03,2013,25,17,0,1

08,04,2013,17,16,1,2
07,04,2013,20,30,1,1
07,04,2013,9,25,2,1
07,04,2013,18,12,1,0
07,04,2013,27,11,2,2
07,04,2013,15,29,0,0
06,04,2013,19,26,2,2
06,04,2013,24,2,1,3
06,04,2013,28,1,1,2
06,04,2013,22,23,0,2

08,05,2013,9,27,2,2
07,05,2013,16,28,1,0
07,05,2013,30,26,2,3
14,04,2013,24,17,0,2
