match_day,team1,team2,score1,score2
1,17,18,3,0
1,15,1,1,1
1,9,28,6,0
1,2,29,3,0
1,4,11,1,0
1,6,12,0,0
1,25,3,2,2
1,30,5,0,4
1,31,24,2,1
1,27,16,0,0

2,16,15,3,0
2,12,17,2,2
2,18,2,6,0
2,30,9,0,6
2,1,5,6,0
2,3,4,2,1
2,11,31,1,1
2,24,27,1,2
2,28,25,1,0
2,29,6,1,3

3,2,11,1,0
3,15,28,1,0
3,25,16,1,0
3,6,3,2,2
3,17,29,3,0
3,5,12,2,2
3,9,24,2,0
3,27,30,0,1
3,31,18,1,1
3,4,1,1,2

4,24,2,2,1
4,3,15,0,0
4,1,6,4,1
4,12,31,2,1
4,16,4,1,1
4,18,5,0,2
4,28,27,1,1
4,29,9,1,3
4,30,25,1,1
4,11,17,3,3

5,9,5,4,0
5,30,16,0,2
5,17,15,3,2
5,25,1,1,1
5,2,6,1,1
5,4,12,1,1
5,11,18,0,1
5,27,31,3,1
5,28,3,3,1
5,24,29,1,1

6,18,24,1,2
6,31,2,1,2
6,6,17,2,2
6,1,28,2,3
6,3,30,0,0
6,5,4,1,2
6,12,11,0,0
6,15,25,2,2
6,29,27,1,0
6,16,9,1,0

7,9,1,2,0
7,15,5,1,2
7,16,18,2,1
7,25,17,0,0
7,3,11,0,2
7,24,4,1,0
7,27,2,2,1
7,28,6,1,1
7,29,12,1,1
7,30,31,2,0

8,4,25,0,0
8,5,16,2,3
8,11,15,2,0
8,2,9,0,0
8,1,3,2,1
8,6,24,2,1
8,12,27,1,2
8,17,28,2,2
8,18,30,2,2
8,31,29,1,1

9,16,1,0,3
9,15,4,2,1
9,24,17,1,2
9,29,18,1,2
9,3,5,2,0
9,9,31,2,0
9,25,2,1,0
9,28,12,2,1
9,30,6,1,1
9,27,11,1,1

10,5,28,2,1
10,6,15,0,1
10,18,25,5,1
10,2,3,0,0
10,17,27,2,0
10,1,29,1,0
10,4,9,1,2
10,11,24,1,0
10,12,30,2,0
10,31,16,2,1

11,15,9,2,0
11,28,16,0,2
11,1,18,0,1
11,3,29,2,2
11,4,30,2,1
11,5,11,2,2
11,12,2,1,1
11,17,31,2,1
11,25,24,2,0
11,6,27,4,2

12,11,6,1,1
12,16,17,0,0
12,2,5,3,2
12,9,12,1,0
12,18,4,1,2
12,29,28,2,2
12,30,15,1,1
12,31,1,0,2
12,27,25,1,1
12,24,3,3,2

13,9,25,0,3
13,11,1,1,2
13,24,15,2,0
13,16,3,0,0
13,18,12,0,0
13,27,4,4,2
13,29,5,0,0
13,30,28,1,0
13,31,6,2,3
13,2,17,2,2

14,25,11,2,2
14,12,16,1,4
14,4,2,2,0
14,15,29,3,0
14,3,9,1,0
14,5,31,2,1
14,6,18,5,1
14,17,30,2,0
14,28,24,0,3
14,1,27,2,3

15,27,15,2,1
15,18,9,1,1
15,6,5,2,2
15,11,28,1,4
15,12,3,1,1
15,17,4,7,1
15,24,16,1,1
15,29,30,3,1
15,31,25,3,2
15,2,1,2,4

