1,12,1,1,0,0,5,0,3,1,0,0,5,0,3,0,0,0,0,0,0,
2,26,1,1,0,0,5,0,3,0,0,0,0,0,0,1,0,0,5,0,3,
3,28,1,1,0,0,3,0,3,1,0,0,3,0,3,0,0,0,0,0,0,
4,9,1,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,2,0,3,
5,16,1,1,0,0,3,2,3,1,0,0,3,2,3,0,0,0,0,0,0,
6,18,1,1,0,0,2,1,3,1,0,0,2,1,3,0,0,0,0,0,0,
7,11,1,1,0,0,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0,
8,29,1,1,0,0,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0,
9,22,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,
10,24,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,
11,25,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,
12,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,
13,23,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3,0,
14,27,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,
15,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,
16,17,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,
17,30,1,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,
18,15,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,
19,19,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,5,0,
20,20,1,0,0,1,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,

1,26,2,2,0,0,8,0,6,1,0,0,3,0,3,1,0,0,5,0,3,
2,9,2,2,0,0,4,0,6,1,0,0,2,0,3,1,0,0,2,0,3,
3,11,2,2,0,0,4,1,6,1,0,0,1,0,3,1,0,0,3,1,3,
4,28,2,1,1,0,4,1,4,1,0,0,3,0,3,0,1,0,1,1,1,
5,25,2,1,1,0,3,0,4,1,0,0,3,0,3,0,1,0,0,0,1,
6,16,2,1,1,0,5,4,4,1,0,0,3,2,3,0,1,0,2,2,1,
7,12,2,1,0,1,7,3,3,1,0,0,5,0,3,0,0,1,2,3,0,
8,17,2,1,0,1,3,3,3,1,0,0,3,2,3,0,0,1,0,1,0,
9,30,2,1,0,1,2,2,3,0,0,1,0,2,0,1,0,0,2,0,3,
10,18,2,1,0,1,2,3,3,1,0,0,2,1,3,0,0,1,0,2,0,
11,29,2,1,0,1,1,3,3,1,0,0,1,0,3,0,0,1,0,3,0,
12,24,2,0,2,0,1,1,2,0,1,0,0,0,1,0,1,0,1,1,1,
13,1,2,0,2,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,
14,27,2,0,1,1,2,3,1,0,1,0,1,1,1,0,0,1,1,2,0,
15,15,2,0,1,1,2,5,1,0,1,0,2,2,1,0,0,1,0,3,0,
16,22,2,0,1,1,1,4,1,0,1,0,1,1,1,0,0,1,0,3,0,
17,20,2,0,1,1,1,6,1,0,0,1,0,5,0,0,1,0,1,1,1,
18,19,2,0,1,1,1,6,1,0,1,0,1,1,1,0,0,1,0,5,0,
19,23,2,0,0,2,2,5,0,0,0,1,0,2,0,0,0,1,2,3,0,
20,2,2,0,0,2,1,4,0,0,0,1,1,3,0,0,0,1,0,1,0,

1,9,3,3,0,0,8,2,9,2,0,0,6,2,6,1,0,0,2,0,3,
2,26,3,2,1,0,10,2,7,1,1,0,5,2,4,1,0,0,5,0,3,
3,28,3,2,1,0,6,1,7,2,0,0,5,0,6,0,1,0,1,1,1,
4,16,3,2,1,0,8,5,7,2,0,0,6,3,6,0,1,0,2,2,1,
5,17,3,2,0,1,6,5,6,1,0,0,3,2,3,1,0,1,3,3,3,
6,11,3,2,0,1,4,3,6,1,0,0,1,0,3,1,0,1,3,3,3,
7,29,3,2,0,1,4,3,6,2,0,0,4,0,6,0,0,1,0,3,0,
8,25,3,1,2,0,5,2,5,1,0,0,3,0,3,0,2,0,2,2,2,
9,1,3,1,2,0,2,0,5,0,1,0,0,0,1,1,1,0,2,0,4,
10,30,3,1,1,1,4,4,4,0,1,1,2,4,1,1,0,0,2,0,3,
11,18,3,1,1,1,3,4,4,1,1,0,3,2,4,0,0,1,0,2,0,
12,12,3,1,0,2,7,6,3,1,0,0,5,0,3,0,0,2,2,6,0,
13,24,3,0,3,0,3,3,3,0,1,0,0,0,1,0,2,0,3,3,2,
14,27,3,0,2,1,3,4,2,0,2,0,2,2,2,0,0,1,1,2,0,
15,19,3,0,2,1,2,7,2,0,1,0,1,1,1,0,1,1,1,6,1,
16,2,3,0,1,2,2,5,1,0,0,1,1,3,0,0,1,1,1,2,1,
