,result,t1_avg_away_pts_tot,t1_avg_home_pts_tot,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_away_pts_tot,t2_avg_home_pts_tot,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_mu,t2_avg_scrd_tot,t2_standing
0,1.0,0.42631578947368426,0.9684210526315788,1.3000000000000003,1.3157894736842106,1.2684210526315791,1.4,1.2947368421052632,8.0,1.0842105263157895,1.1263157894736842,1.6,2.210526315789474,0.7157894736842106,2.0,1.9736842105263157,2.0
1,1.0,1.0263157894736843,1.4052631578947368,3.0000000000000004,2.3526315789473684,0.6210526315789474,1.0,1.8526315789473686,1.0,0.09473684210526316,0.2736842105263158,0.0,0.18421052631578946,0.3263157894736842,0.0,0.24210526315789477,20.0
2,2.0,0.8421052631578947,0.8263157894736842,0.4,1.668421052631579,0.9526315789473685,0.9,1.4473684210526316,5.0,0.9842105263157896,1.0473684210526317,2.2,1.9526315789473685,0.9421052631578949,2.1,1.8210526315789475,4.0
3,2.0,0.8157894736842105,0.8052631578947369,1.9000000000000004,1.6210526315789473,1.2789473684210528,1.8,1.510526315789474,6.0,0.47368421052631576,0.7631578947368421,0.7000000000000001,1.1578947368421053,1.2157894736842105,0.30000000000000004,0.8947368421052632,11.0
4,2.0,0.47894736842105273,0.6894736842105263,0.8,1.168421052631579,1.5157894736842106,1.5,1.105263157894737,15.0,0.4052631578947368,1.0157894736842106,1.7000000000000002,1.3421052631578947,1.3315789473684212,2.2,1.4578947368421054,10.0
5,2.0,0.3736842105263158,0.6842105263157895,1.9000000000000004,1.0578947368421054,1.4000000000000001,1.9000000000000001,1.0526315789473686,13.0,0.4421052631578948,0.6,0.7000000000000001,0.9631578947368421,1.4473684210526316,0.7000000000000001,0.905263157894737,16.0
6,2.0,0.4421052631578948,0.7210526315789474,0.7000000000000001,1.1631578947368422,1.4105263157894736,1.0,1.0526315789473684,14.0,0.5210526315789474,0.863157894736842,1.9000000000000004,1.3052631578947371,1.0315789473684212,1.7000000000000002,1.0210526315789474,7.0
7,1.0,0.21052631578947367,0.8157894736842105,,0.9473684210526315,1.1578947368421053,,0.8,12.0,0.0,0.0,,0.0,0.0,,0.0,20.0
8,2.0,0.0,0.0,,0.0,0.0,,0.0,20.0,0.6526315789473685,0.7578947368421054,,1.3315789473684212,1.2105263157894737,,1.105263157894737,9.0
9,1.0,1.1473684210526316,1.1263157894736844,2.0,2.194736842105263,0.6421052631578948,1.5000000000000002,1.773684210526316,3.0,0.4421052631578948,0.2947368421052632,0.5,0.7368421052631579,1.3473684210526315,0.0,0.8210526315789475,17.0
10,2.0,0.39487179487179486,0.9897435897435898,1.2000000000000002,1.3846153846153846,1.2974358974358975,0.8,1.471794871794872,2.0,0.8205128205128205,0.805128205128205,1.8000000000000003,1.6256410256410259,1.0820512820512822,1.1,1.435897435897436,20.0
11,1.0,0.9589743589743591,1.0205128205128207,3.0000000000000004,1.9794871794871796,0.9435897435897437,2.1,1.9282051282051282,1.0,0.3641025641025641,0.6666666666666666,0.0,1.0307692307692309,1.38974358974359,0.6000000000000001,1.0256410256410258,14.0
12,1.0,0.5076923076923077,0.8410256410256409,0.2,1.348717948717949,1.005128205128205,0.7000000000000001,1.0205128205128207,8.0,0.46666666666666673,0.6717948717948717,2.6000000000000005,1.1384615384615386,1.5282051282051283,1.5,1.0769230769230769,17.0
13,1.0,0.635897435897436,0.7384615384615386,0.5,1.3743589743589746,1.1794871794871795,0.6000000000000001,1.1282051282051282,4.0,0.7948717948717948,0.7846153846153846,2.0,1.5794871794871794,1.2974358974358977,1.1,1.471794871794872,16.0
14,1.0,1.0564102564102564,1.0974358974358973,1.0,2.1538461538461537,0.7487179487179488,0.0,1.9487179487179487,12.0,0.20512820512820512,0.7948717948717948,1.0,1.0,1.1282051282051282,0.0,0.8307692307692309,3.0
15,1.0,0.09230769230769231,0.26666666666666666,0.0,0.1794871794871795,0.3435897435897436,1.0,0.23589743589743592,13.0,0.4307692307692308,0.7025641025641026,3.0000000000000004,1.1333333333333333,1.4000000000000001,3.0000000000000004,1.0256410256410255,15.0
16,1.0,0.0,0.0,,0.0,0.05128205128205128,,0.0,18.0,1.0,1.3692307692307693,,2.3692307692307693,0.6051282051282052,,1.830769230769231,9.0
17,2.0,0.4307692307692308,0.2871794871794872,1.5000000000000002,0.717948717948718,1.3641025641025641,1.0,0.8256410256410257,11.0,0.41538461538461546,0.9435897435897436,1.5000000000000002,1.3589743589743593,1.2615384615384617,1.0,1.3128205128205128,7.0
18,2.0,0.4307692307692308,0.5846153846153846,0.0,1.0153846153846153,1.4102564102564104,0.8,0.9076923076923078,10.0,1.117948717948718,1.0974358974358975,3.0000000000000004,2.2153846153846155,0.6512820512820513,3.5,1.7794871794871796,6.0
