result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
1,2,1.6091954023,1,1.2643678161,2.5,1.6091954023,7,0.5,1.0229885057,1.4942528736,1.0689655172,15
1,1.5,1.2528735632,1,1.5517241379,1.25,1.1609195402,18,1.5,1.2068965517,1.2873563218,1.091954023,20
1,1,1.3333333333,1,1.4137931034,1,1.5172413793,5,1.75,1.0574712644,1.4942528736,1.0344827586,8
1,0.5,1.22,2,1.4,1.5,1,11,2,1.1931818182,1.3068181818,1.0909090909,20
1,1.25,1.3522727273,0.5,1.3977272727,1.25,1.5227272727,4,1.25,1.125,1.3409090909,0.9204545455,13
2,0.5,1.0113636364,2,1.5340909091,1,1.0681818182,16,2,1.2727272727,1.5454545455,1.1818181818,14
1,2.5,2.2954545455,0.5,0.6590909091,1.25,1.9431818182,3,0.25,1.6590909091,0.9886363636,1.4431818182,9
1,0.5,0.94,1.5,1.52,0.5,1.12,15,2,1.2159090909,1.2272727273,1.0681818182,8
0,1.5,0.92,1,1.78,0.5,0.98,17,1.5,1.25,1.3068181818,1.1363636364,18
1,0.5,1.0454545455,1.25,1.5,0.75,1.0227272727,10,2,2.0795454545,0.9545454545,2.0681818182,2
0,2,2.0568181818,0.75,0.8295454545,1.25,1.9431818182,7,0.5,1.4204545455,1.3522727273,1.4090909091,6
2,1.5,2.0561797753,1.75,0.9550561798,1.25,2.0449438202,2,1.5,2.2584269663,0.6516853933,1.8651685393,1
2,0.25,1.6404494382,1.5,1.0112359551,0.5,1.4269662921,11,2.5,2.0449438202,0.8426966292,1.9438202247,7
0,1.75,1.6179775281,2,1.2584269663,2.25,1.6404494382,5,1,1.3707865169,1.393258427,1.606741573,4
0,1.5,1.2921348315,0.5,1.5280898876,1.5,1.191011236,13,1.5,1.2549019608,1.3725490196,1,9
0,2.5,1.202247191,0.75,1.2247191011,1.75,1.0561797753,10,0.25,1,1.5393258427,1.0561797753,18
0,2,1.4157303371,1.5,1.3595505618,3.5,1.4157303371,6,0.5,0.9215686275,1.8039215686,1.0196078431,16
2,0.25,1.1797752809,1.5,1.3033707865,0.25,1.0786516854,20,2.5,2.3033707865,0.6516853933,1.9550561798,3
1,1.75,1.1123595506,1,1.4269662921,1.5,0.9213483146,15,1,1.0674157303,1.4831460674,1.0224719101,8
0,2,1.6222222222,0.25,1.0222222222,1,1.4111111111,12,0.5,1.3666666667,1.3888888889,1.6,4
1,0.5,1.2,1.25,1.2222222222,0.5,1.0555555556,10,2,1.0555555556,1.4777777778,1.0111111111,8
1,0,1.4111111111,3,1.3555555556,0.25,1.4111111111,7,3,2.2666666667,0.6444444444,1.8777777778,1
1,1.5,2.0333333333,1.5,0.9777777778,2.5,2.0222222222,3,1.5,1.25,1.3461538462,0.9807692308,9
1,3,1.6111111111,0,1.2555555556,1,1.6333333333,6,0,0.9230769231,1.7884615385,1.0192307692,17
0,0.25,1.2888888889,2.5,1.5111111111,0.5,1.1777777778,14,2.5,2.0555555556,0.8333333333,1.9444444444,5
2,0.75,1.2666666667,2,1.3444444444,0.75,1.2,16,2.25,2.3111111111,0.6555555556,1.9777777778,2
2,1.5,1.1333333333,1.5,1.4111111111,2,0.9222222222,15,1.5,1.0192307692,1.4615384615,1.1153846154,11
2,1,2.043956044,1.75,0.8241758242,1.75,1.9230769231,7,1,2.043956044,0.967032967,2.021978022,3
2,2.5,2.3186813187,0.75,0.6483516484,2.75,2,2,0.25,1.6263736264,1.2417582418,1.6483516484,5
1,0.5,1.0566037736,1,1.4716981132,0.5,1.1509433962,9,2,1.2527472527,1.3736263736,1.1868131868,16
0,1,0.989010989,1.25,1.5384615385,1,1.0549450549,19,1.75,1.4285714286,1.3516483516,1.4175824176,6
0,1.5,2.2417582418,0.25,0.6593406593,0.5,1.8681318681,1,0.75,1.6153846154,1.032967033,1.4175824176,12
0,0.5,0.9056603774,1.5,1.8113207547,1,1,18,2,1.2857142857,1.4945054945,1.1648351648,13
0,0.75,1.043956044,1.5,1.4725274725,1,1,10,2.25,1.1868131868,1.3186813187,1.0879120879,20
0,2,1.2264150943,0,1.358490566,1,0.9622641509,11,0.5,1.1208791209,1.4285714286,0.9340659341,15
1,0.5,1.2222222222,0.5,1.3703703704,0,0.9814814815,11,2,1.2173913043,1.2065217391,1.0543478261,9
1,2,2.0217391304,1,0.8369565217,1.5,1.9130434783,7,0.5,1.1195652174,1.4347826087,0.9456521739,15
1,2.25,1.347826087,1.25,1.3913043478,1.75,1.5869565217,5,0.75,1.4239130435,1.3695652174,1.4347826087,6
1,2.5,2.2282608696,0.25,0.6847826087,1.75,1.8804347826,1,0.25,1.1847826087,1.3152173913,1.0869565217,20
1,1.5,1.0925925926,1.5,1.4444444444,2.5,1.1481481481,8,1.5,1.2826086957,1.4782608696,1.152173913,13
1,2.5,0.9891304348,0.75,1.5543478261,1.75,1.0760869565,19,0.25,1.2391304348,1.3695652174,1.1739130435,17
2,1,1.0434782609,1.25,1.4673913043,1,1,10,1.75,1.6413043478,1.2282608696,1.6413043478,4
1,0.5,0.9074074074,2,1.7777777778,1,0.9814814815,18,2,1.6086956522,1.0543478261,1.4347826087,12
0,1.75,1.1075268817,1,1.4408602151,0.75,0.9462365591,15,1,1.0107526882,1.5483870968,1.0967741935,17
0,0.25,1.2258064516,1.75,1.3870967742,0.25,1.1720430108,19,2.5,2.2365591398,0.688172043,1.8817204301,1
0,2,1.5913978495,1,1.0752688172,2,1.4408602151,12,0.5,1.1272727273,1.4363636364,1.1636363636,7
1,1.5,2.0430107527,1.5,0.9677419355,2,2.0107526882,3,1.5,0.9454545455,1.7818181818,1.0181818182,16
1,0.5,1.6559139785,2.5,1.2150537634,2,1.6451612903,4,2,1.2545454545,1.3818181818,1.0181818182,9
2,1.75,1.2688172043,1,1.4838709677,1.25,1.1505376344,13,1,1.3655913978,1.376344086,1.6021505376,5
1,0.75,1.2043010753,2,1.2258064516,0.5,1.064516129,10,2.25,2.3010752688,0.6451612903,1.9892473118,2
1,3,1.4086021505,0.25,1.3870967742,1.75,1.4193548387,8,0,1.0322580645,1.4731182796,0.9892473118,11
1,0.25,1.1720430108,2,1.3225806452,0.75,1.0860215054,20,2.5,2.0322580645,0.8387096774,1.9139784946,6
2,0,0.9285714286,2.5,1.8035714286,1.5,1,18,3,2.2765957447,0.670212766,1.9680851064,3
1,1.25,2.0531914894,1.5,0.9574468085,1.25,2.0212765957,2,1.25,1.670212766,1.2021276596,1.6382978723,4
1,1.5,1.4255319149,0.5,1.4042553191,1.5,1.4468085106,6,1.5,1.2321428571,1.375,1,10
0,0,1.0212765957,3.25,1.5,0.25,1.0106382979,11,3,1.585106383,1.0744680851,1.4361702128,12
0,1.5,1.1063829787,2,1.4255319149,2.25,0.9361702128,16,1.5,1.2553191489,1.4893617021,1.1382978723,14
0,1.25,1.2234042553,2.25,1.2127659574,1.5,1.085106383,9,1.25,1.3829787234,1.3617021277,1.6063829787,5
1,1.25,1.2234042553,0.5,1.3829787234,1,1.170212766,19,1.25,1.1914893617,1.3085106383,1.0957446809,20
0,0,1.125,2,1.4285714286,1,1.1607142857,7,3,2.2234042553,0.6914893617,1.8723404255,1
1,3,2.2842105263,0.2,0.6736842105,2.8,1.9789473684,3,0,1.1052631579,1.4210526316,0.9368421053,15
2,0.2,1.1789473684,2.2,1.3157894737,0.4,1.0842105263,20,2.6,2.0631578947,0.9473684211,2.0315789474,2
0,1.3333333333,1.0105263158,0.6666666667,1.5263157895,0.6666666667,1.0842105263,18,1.3333333333,0.9122807018,1.8245614035,1,19
2,1,1.6526315789,2,1.2210526316,1.2,1.6210526316,4,1.6,2.0210526316,0.8421052632,1.8947368421,7
2,0,1,1,1.7368421053,0,0.8947368421,16,3,1.4421052632,1.3894736842,1.4526315789,6
0,1.4,1.2526315789,1,1.4842105263,1,1.1368421053,13,1.4,1.0210526316,1.4947368421,1.0105263158,11
1,2.2,2.2105263158,0.8,0.6842105263,1.8,1.8526315789,1,0.4,1.2210526316,1.2,1.0736842105,9
1,0,1.5789473684,1,1.0736842105,0,1.4315789474,12,3,1.0526315789,2,1.1578947368,14
2,1,1.2105263158,0,1.3859649123,0,0.9824561404,10,1,1.1228070175,1.4035087719,1.1403508772,8
1,2.6,1.3789473684,0.4,1.3473684211,2,1.5894736842,5,0.2,1.2421052632,1.3684210526,1.1789473684,17
2,3,1.2291666667,0,1.375,2,1.1666666667,18,0,0.95,1.8,0.85,17
2,1.4,1.09375,1.2,1.4583333333,1,0.9270833333,15,1.4,1.6354166667,1.21875,1.6041666667,5
0,0,1,2,2,0,1.1,14,3,1.1896551724,1.3793103448,0.9655172414,11
1,1.4,1.0208333333,1.4,1.5,1,1.0208333333,12,1.4,1.0104166667,1.53125,1.09375,16
1,2,1.2083333333,0.8,1.2083333333,1.2,1.0729166667,9,0.8,1.1666666667,1.34375,1.0833333333,20
0,0.3333333333,0.9137931034,1.6666666667,1.8275862069,0.3333333333,1.0172413793,19,2.3333333333,2.21875,0.6875,1.8541666667,1
1,1.4,2.03125,1.4,0.8333333333,1.8,1.8854166667,7,1.4,1.3958333333,1.3333333333,1.59375,4
1,1.6,1.4583333333,1.2,1.375,1.8,1.46875,6,1,1.25,1.4895833333,1.1458333333,13
0,0,1.1551724138,1,1.3793103448,0,1.1379310345,8,3,2.2916666667,0.6666666667,2.0104166667,3
0,2.6,2.0729166667,0.8,0.9479166667,3,2.0520833333,2,0.2,1.59375,1.0625,1.4375,10
2,2,1.1546391753,1,1.3402061856,2,1.0721649485,20,1,1.1525423729,1.3728813559,1.1355932203,8
2,0,1,2.6,1.5567010309,1,1.0824742268,17,3,2.0618556701,0.9587628866,2.0515463918,2
1,1.6,1.2371134021,1.4,1.5154639175,1.2,1.1443298969,15,1,1.2268041237,1.1958762887,1.0721649485,9
0,1.6,1.6494845361,1,1.2164948454,1.2,1.6082474227,5,1,1.2164948454,1.3917525773,1.1649484536,19
1,2.4,1.587628866,0.4,1.0721649485,1.4,1.4432989691,11,0.6,1.4742268041,1.3711340206,1.4948453608,4
1,3,2.206185567,0.6,0.6907216495,2.8,1.8453608247,1,0,1.0412371134,1.4845360825,1.0515463918,10
1,0,2.2783505155,1,0.6701030928,0,2,3,3,1,1.9523809524,1.0952380952,14
0,2,1.381443299,1,1.3402061856,2.3333333333,1.5773195876,6,1,0.9152542373,1.813559322,1.0169491525,18
2,3,1.0476190476,0,1.7619047619,1,0.9523809524,13,0,1.0824742268,1.4639175258,0.9278350515,16
0,0.6666666667,1.186440678,1.3333333333,1.3728813559,0,0.9661016949,12,1.6666666667,2.0412371134,0.824742268,1.8865979381,7
0,1,1.1833333333,1.6666666667,1.3666666667,0.3333333333,0.9666666667,12,2,1.4591836735,1.3775510204,1.4795918367,6
1,1.4,1.2551020408,2,1.5,1.8,1.1530612245,13,1.4,1.1020408163,1.4489795918,0.9387755102,14
1,2.6,1.6020408163,0.4,1.0612244898,2.8,1.4489795918,10,0.2,1.0306122449,1.5408163265,1.0612244898,11
0,1,1.6428571429,1.6,1.2040816327,1.2,1.5918367347,4,1.6,2.0714285714,0.9489795918,2.0510204082,2
1,2.3333333333,2.2142857143,0.6666666667,0.7040816327,1.3333333333,1.8979591837,1,0.3333333333,1.1833333333,1.3666666667,1.15,8
1,1,0.9897959184,1,1.5612244898,1,1.0714285714,19,1,0.9545454545,2,1.0454545455,16
1,1.2,1.3775510204,1.2,1.3265306122,1.8,1.5612244898,5,1.2,1.2142857143,1.2040816327,1.0612244898,9
0,1,1.1428571429,1.2,1.3469387755,0.4,1.0714285714,20,1.6,1.2142857143,1.3775510204,1.1530612245,18
0,0,1,2,1.7727272727,0,0.9090909091,15,3,2.0306122449,0.8265306122,1.8775510204,7
1,3,2.2857142857,1.3333333333,0.6632653061,2.6666666667,2.0102040816,3,0,0.9166666667,1.7833333333,1,17
0,1,1.0202020202,0.6666666667,1.5454545455,0.6666666667,1.0505050505,13,2,1.1803278689,1.3606557377,0.9672131148,11
2,1,2.0606060606,1.4,0.9393939394,1.2,2.0303030303,3,1.6,2.2929292929,0.6565656566,2.0303030303,2
1,2,1.4545454545,0.6,1.3737373737,2,1.4747474747,6,0.8,1.1414141414,1.3434343434,1.0707070707,20
2,0,0.9130434783,3,1.9565217391,0,1,17,3,2.2222222222,0.696969697,1.9090909091,1
0,2,1.1639344262,1.6666666667,1.393442623,2.6666666667,1.131147541,8,1,1.3939393939,1.3131313131,1.5656565657,4
2,1.4,1.202020202,1.2,1.2121212121,1.2,1.0505050505,10,1.4,1.6363636364,1.1919191919,1.5757575758,5
0,1,0.9016393443,1,1.8196721311,1,0.9836065574,19,1,1,1.6956521739,0.8695652174,14
1,3,2.0202020202,0.6,0.8181818182,3,1.8585858586,7,0,1.0101010101,1.5454545455,1.0707070707,16
0,2.2,1.2121212121,0.6,1.3737373737,1.6,1.1515151515,18,0.4,1.2727272727,1.4949494949,1.1616161616,12
2,0.6,1.0909090909,2,1.4545454545,0.8,0.9393939394,15,2.4,1.6161616162,1.0505050505,1.4545454545,9
1,1.8,2.23,1,0.7,2,1.91,1,1.2,2.04,0.96,2.02,3
1,3,1.1612903226,0,1.3870967742,1,1.1290322581,8,0,1,1.7083333333,0.9166666667,14
0,1,1.39,2,1.31,1.8,1.56,5,1.6,1.65,1.18,1.58,4
0,0.4,1,1.6,1.55,0.8,1.06,16,2.2,1.19,1.22,1.04,10
1,0,0.875,5,1.9583333333,3,1,18,3,1.21,1.36,1.14,17
1,0.6666666667,0.9032258065,2.6666666667,1.8225806452,1.3333333333,1,19,1.6666666667,1.47,1.36,1.48,6
1,2.6,2.3,0.4,0.66,2,2.04,2,0.2,1.13,1.35,1.06,20
1,1.3333333333,1.1774193548,1,1.3387096774,0.3333333333,0.9516129032,11,1.3333333333,1.27,1.48,1.15,12
0,0.8,1.02,1.4,1.53,0.8,1.04,13,2,1.08,1.45,0.93,15
1,2.6,2.03,0.4,0.81,1.6,1.86,7,0.2,1.63,1.04,1.45,9
1,1.6666666667,1.2574257426,0.6666666667,1.495049505,1,1.1386138614,13,0.6666666667,0.9365079365,1.8095238095,1.0158730159,17
1,0.8,1.6138613861,1,1.0396039604,0.8,1.4356435644,9,1.4,2.2376237624,0.6930693069,1.9108910891,1
1,1.4,2.0198019802,1.6,0.9702970297,1.8,2,3,0.8,2.0396039604,0.801980198,1.8514851485,4
0,0.8,1.6435643564,2.2,1.1683168317,0.8,1.5643564356,5,2,2.3069306931,0.6534653465,2.0693069307,2
1,1.3333333333,1.198019802,0.6666666667,1.3663366337,0.6666666667,1.1386138614,19,1.3333333333,1.1904761905,1.380952381,1.1428571429,8
1,3,0.96,0,1.72,1,0.92,14,0,1.3861386139,1.297029703,1.5445544554,6
1,1,1.1881188119,1,1.2079207921,1,1.0297029703,10,1,0.96,1.92,1.04,15
1,1.6,1.4554455446,1.4,1.3663366337,1.6,1.4752475248,7,1,1,1.5346534653,1.0495049505,18
0,2,1.1188118812,1,1.3861386139,1.4,1.0495049505,20,0.8,1.0198019802,1.5247524752,1.0396039604,12
0,0.6666666667,1.0792079208,1.3333333333,1.4455445545,0.6666666667,0.9306930693,16,1.6666666667,1.2063492063,1.3174603175,0.9841269841,11
2,1,1.0784313725,2.8,1.4411764706,0.6,0.931372549,15,1.6,1.3725490196,1.2941176471,1.5294117647,7
1,1.3333333333,1.2058823529,0.6666666667,1.1960784314,1,1.0490196078,10,1.3333333333,1.171875,1.390625,1.125,8
0,0.6,1.4705882353,1.4,1.3529411765,1,1.4803921569,5,1.8,2.0196078431,0.8039215686,1.8333333333,6
1,1,1.637254902,1,1.1666666667,1,1.5588235294,4,1,0.9230769231,1.9615384615,1,17
1,2.2,1.2745098039,0.8,1.4803921569,2,1.137254902,12,0.4,0.9901960784,1.5392156863,1.0392156863,19
2,1.3333333333,1.1176470588,1.3333333333,1.3823529412,1.3333333333,1.0490196078,20,1.3333333333,1.203125,1.3125,0.984375,11
